ISBN,Title,Author,Year,Publisher,synopsis,subjects,genres,language,pages,binding,image_url,overview
0671629980,HW MUCH JUST PLANET STAR TREK 36 (Star Trek (Numbered Paperback)),John M. Ford,1987,Star Trek,"The universe's largest reserve of dilithium crystals--which power the Federation's starships--has been located on the tiny planet of Direidi. Under space law, the planet best able to develop the resource earns the right to it. This pits Captain James T. Kirk against one of his oldest enemies--Captain Kaden vestai-Oparai of the Klingon Empire.","Fiction, Science Fiction","Fiction, Science Fiction",en,253.0,Paperback,https://images.isbndb.com/covers/2887513482427.jpg,
0812534077,Memory and Dream,Charles De Lint,1995,Tor Books (Mm),"In the Old Country, they called them the Gentry: ancient spirits of the land, magical, amoral, and dangerous. When the Irish emigrated to North America, some of the Gentry followed . . . only to find that the New World already had spirits of its own, the manitou.<p>Now generations have passed, but the Gentry still wander homeless on the city streets. Gathering in the shadows, they bide their time and dream of power. As their dreams grow harder, darker, fiercer, so do the Gentry themselves -- appearing, to those with the sight to see them, as hard and dangerous men, invariably dressed in black.<p>Bettina can see them. Part Indian, part Mexican, she was raised to understand the spirit world. Now she lives in wintry Kellygnow, an artist's colony a world away from the Southwestern desert of her youth. Outside her nighttime window, she often spies the dark men, squatting in the snow, smoking, brooding, waiting. She calls them los lobos, the wolves, and stays clear of them -- until the night one follows her to the woods, and takes her hand . . .<p>Once again, Charles de Lint weaves the mythic traditions of many cultures into a seamless cloth, bringing folklore, music, and unforgettable characters to life on modern city streets.","Fiction, Fantasy","Fiction, Fantasy",en,591.0,Paperback,https://images.isbndb.com/covers/7638953482477.jpg,
0446400580,The Potter's Field: The Seventeenth Chronicle of Brother Cadfael,Ellis Peters,1991,Warner Books,"In October of 1142, a local landlord gives the Potter's Field to the local clergy. The monks begin to plow it, and the blades turn up the long tresses of a young woman, dead over a year. Then the arrival of a novice who fled from an abbey ravaged by civil war in East Anglia complicates life even further for Brother Cadfael.","Fiction, Mystery & Detective","Fiction, Mystery & Detective",en,224.0,Mass Market Paperback,https://images.isbndb.com/covers/25542553482346.jpg,
0671008803,Spectre (Star Trek),William Shatner,1999,Star Trek,"Retired and happily married, Kirk believes his adventuring days are over. But as he returns to Earth for the first time since his apparent death upon the Enterprise-B, events elsewhere in the galaxy set in motion a mystery that may provide Kirk with his greatest challenge yet.","Fiction, Media Tie-In, Science Fiction, Space Opera","Fiction, Media Tie-In, Science Fiction",en,372.0,Paperback,https://images.isbndb.com/covers/24761483482426.jpg,
0345329457,At the Mountains of Madness and Other Tales,H. P. Lovecraft,1990,Del Rey Books,"Few writers can evoke such nightmarish visions as H. P. Lovecraft—and few of his stories are as chilling as these canonical tales of terror.<br/><br/>“H. P. Lovecraft has yet to be surpassed as the twentieth century’s greatest practitioner of the classic horror tale.”—Stephen King<br/><br/>At the Mountains of Madness: Lovecraft’s indisputable masterpiece. In the barren, windswept Antarctic, an expedition uncovers strange fossils . . . and mind-blasting terror.<br/><br/>The Shunned House: Two men investigate the mystery of a sinister old house: the scene of unexplained deaths and weird apparitions.<br/><br/>The Dreams in the Witch-House: In the crooked bedroom of an ancient abode, a mathematician’s feverish studies lead him to a dark discovery.<br/><br/>The Statement of Randolph Carter: The lone survivor of an unspeakable incident, Randolph Carter relates his brush with the underworld.<br/><br/>These milestones of the macabre will compel you to read on, even as you attempt to flee the waking nightmares they inspire. At the Mountains of Madness and Other Tales of Terror is a master class in supernatural terror.","FICTION_MYSTERY & DETECTIVE_GENERAL, FICTION_SHORT STORIES (single author), FICTION_HORROR","FICTION_MYSTERY & DETECTIVE_GENERAL, FICTION_SHORT STORIES (single author), FICTION_HORROR",en,192.0,Paperback,https://images.isbndb.com/covers/25919653482310.jpg,
0886776244,World Without End (Moontide & Magic Rise),Sean Russell,1995,Daw Books,"<b>Chronicling the epic fantasy adventures of naturalist Tristram Flattery as he voyages to discover the lost history of magic in a world where reason and science reign</b> <p>The Age of the Mages is over, and all the secrets of their magical arts are thought to be lost to the world. <p> There are even those who suspect that the last of the great Mages spent their final years scrupulously eradicating all traces of their craft from the pages of history--insuring that their art will never be practiced again. <p> It is the dawn of a new era: an age of reason, science, and exploration, and Tristam Flattery is one of its most promising young naturalists. <p> But when Tristam is summoned to the royal court of Farrland to try to revitalize a failing species of plant which seems to have mysterious, almost magical, medicinal properties--a plant without which, he is told, the aging king will surely die--he soon realizes that he has been drawn into the heart of a political struggle which spans generations, a conflict which threatens the very foundations of his civilization. And before long, Tristam is caught in the grip of a destiny which will lead him to the ends of the known world--on a voyage of discovery that has more to do with magic than with science....","Fiction, Fantasy, Epic, Science Fiction","Fiction, Fantasy, Epic",en,606.0,Paperback,https://images.isbndb.com/covers/19830073482503.jpg,
0345384210,The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death,H. P. Lovecraft,1995,Del Rey Books,"“[Lovecraft's] dream fantasy works are as terrifying and haunting as his tales of horror and the macabre. A master craftsman, Lovecraft brings compelling visions of nightmarish fear, invisible worlds and the demons of the unconscious. If one author truly represents the very best in American literary horror, it is H. P. Lovecraft.”—John Carpenter, Director of At the Mouth of Madness, Halloween, and Christine<br/><br/>With an introduction by Neil Gaiman<br/><br/>This volume collects, for the first time, the entire Dream Cycle created by H. P. Lovecraft, the master of twentieth-century horror, including some of his most fantastic tales:<br/><br/>The Doom That Came to Sarnath—Hate, genocide, and a deadly curse consume the land of Mnar.<br/>The Statment of Randolph Carter—“You fool, Warren is DEAD!”<br/>The Nameless City—Death lies beneath the shifting sands, in a story linking the Dream Cycle with the legendary Cthulhu Mythos.<br/>The Cats of Ulthar—In Ulthar, no man may kill a cat...and woe unto any who tries.<br/>The Dream Quest of Unknown Kadath—The epic nightmare adventure with tendrils stretching throughout the entire Dream Cycle.<br/><br/>And twenty more tales of surreal terror!",FICTION_HORROR,FICTION_HORROR,en,387.0,Paperback,https://images.isbndb.com/covers/26467283482310.jpg,
087542127X,The Truth About Witchcraft Today (Llewellyn's New Age),Scott Cunningham,1988,Llewellyn Publications,"<p>Here is the first real look at the facts about Witchcraft and the religion of Wicca. As renowned author Scott Cunningham plainly states, the practice of magic is not supernatural or Satanic. Witches and folk magicians are only utilizing, through timeless rituals, natural energies found within the Earth and our bodies to enrich life by creating positive change. It's all revealed here in the easy-to-read, understandable style that was Scott Cunningham's trademark.</p> <p>Praise: <br>""A really good introduction to Witchcraft and Wicca...I thought it was wonderful.""--Marian Zimmer Bradley, author of The Mists of Avalon</p> <p>""...[T]he first book I recommend to those seeking information about my religion.""--Ellen Cannon Reed, The Witches' Tarot</p> <p>""One of the best introductory books about Witchcraft and folk magic.""--The Broom Closet, BroomCloset.com</p>","Body, Mind & Spirit, Inspiration & Personal Growth, Reference, Witchcraft, Magick Studies, Religion, Comparative Religion","Body, Mind & Spirit, Inspiration & Personal Growth, Reference",en,185.0,Paperback,https://images.isbndb.com/covers/18623573482499.jpg,
0340693096,The Talk of the Town,Ardal O'Hanlon,1999,Scepter/Lir,"<p>'A cracker. O'Hanlon's grasp of dialect and teenage concerns is spot-on. And very funny' NME</p> <p>Patrick Scully is special. At least he was in the 70s when he was the school team's best striker, but now he's just a frustrated 19 year old working in Dublin. In fact these days, Balls O'Reilly seems to be getting all the attention, particularly from Scully's girlfriend, Francesca. In a wild weekend of drinking and fighting, Scully tries to forget everything but knows that his horrific secret will ensure once again that he is the talk of the town.</p>",FICTION_ROMANCE_GENERAL,FICTION_ROMANCE_GENERAL,en,244.0,Hardcover,https://images.isbndb.com/covers/7641833482309.jpg,
3596224284,Dear Doosie.,Werner Lansburgh,1977,"Fischer (Tb.), Frankfurt",Dear Doosie - Eine Liebesgeschichte in Briefen - bk1080; Fischer Verlag; Werner Lansburgh; pocket_book; 1991,Modern fiction,Modern fiction,de,259.0,Perfect Paperback,https://images.isbndb.com/covers/11523173483468.jpg,
0152020683,Half Magic,Edward Eager,1999,Odyssey Classics,"It all begins with a strange coin on a sun-warmed sidewalk.<br> <br> Jane finds the coin, and becasue she and her sblings are having the worst, most dreadfully boring summer ever, she idly wishes something exciting would happen.<br> <br> And something<i>does:</i>Her wish is granted.<br> <br> Or not quite. Only half of her wish comes true.<br> <br> It turns out the coin grants wishes--but only by half, so that you must wish for twice as much as you want.<br> <br> Wishing for two times some things is a cinch, but other doubled wishes only cause twice as much trouble. What is half of twice a talking cat? Or to be half-again twice not-here? And how do you double your most heartfelt wish, the one you care about so much it has to be perfect?","Juvenile Fiction, Classics, Fantasy & Magic","Juvenile Fiction, Classics, Fantasy & Magic",en,192.0,Paperback,https://images.isbndb.com/covers/2665643482242.jpg,
0385503466,Shutterbug Follies (Doubleday Graphic Novels),Jason Little,2002,Doubleday Books,"Bee works as a photo-finishing technician at a one-hour lab in lower Manhattan. To amuse herself, she duplicates (for her own collection) any titillating photographs that happen to pass through her hands. When pictures of a naked corpse are left for processing, Bee's curiosity goes into high gear.<br/><br/>""Shutterbug Follies"" is a comic murder mystery filled with unlikely coincidences, humorous misunderstandings, and hairbreadth escapes. Drawn with wit and imagination, it brings a classic genre totally up-to-date.",COMICS & GRAPHIC NOVELS_GENERAL,COMICS & GRAPHIC NOVELS_GENERAL,en,160.0,Hardcover,https://images.isbndb.com/covers/6372893482325.jpg,
0373484429,Reflections And Dreams,Nora Roberts,2001,Silhouette,"Featuring characters from Considering Kate, a poignant two-in-one volume details the lives and loves of two unforgettable women--Lindsay Dunne, whose inexperienced heart finds love with seductive Seth Bannion in Reflections, and Ruth Bannion, who falls for her demanding mentor Nickolai Davidov in Dance of Dreams. Reprint.","Fiction, Romance, Contemporary","Fiction, Romance, Contemporary",en,505.0,Mass Market Paperback,https://images.isbndb.com/covers/26611433482320.jpg,
0446524999,The Arcanum: The Extraordinary True Story,Janet Gleeson,1999,Warner Books Inc,"Even at the dawn of the Age of Reason, humankind sought to discover the arcanum, the secret formula that could transform base metals into gold. But by the early 18th century, porcelain, the precious ceramic made in China for almost 1,000 years, had become a symbol of fabulous wealth and prestige. This is the story of Johann Friedrich Bottger, an alchemist and virtual prisoner of a greedy king, who -- at the cost of his own life -- discovered how to make porcelain and in so doing changed the course of history.","Antiques & Collectibles, Porcelain & China","Antiques & Collectibles, Porcelain & China",en,324.0,Hardcover,https://images.isbndb.com/covers/26786613482346.jpg,
0767908260,The Island of Lost Maps : A True Story of Cartographic Crime,MILES HARVEY,2001,Broadway,"<b>The Island of Lost Maps</b> tells the story of a curious crime spree: the theft of scores of valuable centuries-old maps from some of the most prominent research libraries in the United States and Canada. The perpetrator was Gilbert Joseph Bland, Jr., an enigmatic antiques dealer from South Florida, whose cross-country slash-and-dash operation had gone virtually undetected until he was caught in 1995–and was unmasked as the most prolific American map thief in history. As Miles Harvey unravels the mystery of Bland's life, he maps out the world of cartography and cartographic crime, weaving together a fascinating story of exploration, craftsmanship, villainy, and the lure of the unknown.",True Crime,True Crime,en,404.0,Paperback,https://images.isbndb.com/covers/10753503482461.jpg,
0060171928,Mutant Message Down Under,Marlo Morgan,1994,Harpercollins,"Originally self-published in paperback, a fictional account of an American woman's four-month odyssey through the Australian Outback with the region's native people shares a message about living in harmony with the world around. 250,000 first printing. $250,000 ad/promo. Lit Guild & Doubleday. Tour.","AUSTRALIA_FICTION, FICTION_VISIONARY & METAPHYSICAL","AUSTRALIA_FICTION, FICTION_VISIONARY & METAPHYSICAL",en,296.0,Mass Market Paperback,https://images.isbndb.com/covers/11009153482209.jpg,
0345409876,Women Who Run with the Wolves,CLARISSA PINKOLA PHD ESTES,1996,Ballantine Books,"<b><i>NEW YORK TIMES </i>BESTSELLER • More than 2.7 million copies sold! • “A deeply spiritual book [that] honors what is tough, smart and untamed in women.”—<i>The Washington Post Book World</i><br><br>Book club pick for Emma Watson’s Our Shared Shelf<br></b><br> Within every woman there lives a powerful force, filled with good instincts, passionate creativity, and ageless knowing. She is the Wild Woman, who represents the instinctual nature of women. But she is an endangered species. For though the gifts of wildish nature belong to us at birth, society’s attempt to “civilize” us into rigid roles has muffled the deep, life-giving messages of our own souls.<br><br> In <i>Women Who Run with the Wolves</i>, Dr. Clarissa Pinkola Estés unfolds rich intercultural myths, fairy tales, folk tales, and stories, many from her own traditions, in order to help women reconnect with the fierce, healthy, visionary attributes of this instinctual nature. Through the stories and commentaries in this remarkable book, we retrieve, examine, love, and understand the Wild Woman, and hold her against our deep psyches as one who is both magic and medicine.<br><br> Dr. Estés has created a new lexicon for describing the female psyche. Fertile and life-giving, it is a psychology of women in the truest sense, a knowing of the soul.","Body, Mind & Spirit, Spiritualism, Healing, Social Science, Women's Studies","Body, Mind & Spirit, Spiritualism, Healing",en,608.0,Mass Market Paperback,https://images.isbndb.com/covers/26723843482310.jpg,
0679724516,The Second Sex,Simone De Beauvoir,1989,Vintage Books USA,"<p>Newly translated and unabridged in English for the first time, Simone de Beauvoir’s masterwork is a powerful analysis of the Western notion of “woman,” and a groundbreaking exploration of inequality and otherness.  This long-awaited new edition reinstates significant portions of the original French text that were cut in the first English translation. Vital and groundbreaking, Beauvoir’s pioneering and impressive text remains as pertinent today as it was sixty years ago, and will continue to provoke and inspire generations of men and women to come.</p>","Social Science, Women's Studies, Feminism & Feminist Theory","Social Science, Women's Studies, Feminism & Feminist Theory",en,746.0,Paperback,https://images.isbndb.com/covers/27661223482429.jpg,
0679763309,An Unquiet Mind,Kay R. Jamison,1997,Vintage Books USA,"<b>NATIONAL BESTSELLER • A deeply powerful memoir about bipolar illness that has both transformed and saved lives—with a new preface by the author. <br></b><br>Dr. Jamison is one of the foremost authorities on manic-depressive (bipolar) illness; she has also experienced it firsthand. For even while she was pursuing her career in academic medicine, Jamison found herself succumbing to the same exhilarating highs and catastrophic depressions that afflicted many of her patients, as her disorder launched her into ruinous spending sprees, episodes of violence, and an attempted suicide.<br><br>Here Jamison examines bipolar illness from the dual perspectives of the healer and the healed, revealing both its terrors and the cruel allure that at times prompted her to resist taking medication.","Psychology, Psychopathology, Bipolar Disorder, Biography & Autobiography, Personal Memoirs, Medical (incl. Patients)","Psychology, Psychopathology, Bipolar Disorder",en,240.0,Paperback,https://images.isbndb.com/covers/28049163482429.jpg,
0425183971,Reunion in Death,J. D. Robb,2002,Berkley Publishing Group,"<b>A birthday bash sets the scene for a frightening reunion with a killer from Eve Dallas’s past in this novel in the #1 <i>New York Times</i> bestselling In Death series.</b><br><br>At exactly 7:30 p.m., Walter Pettibone arrived home to over a hundred friends and family shouting, “surprise!” It was his birthday. Although he had known about the planned event for weeks, the real surprise was yet to come. At 8:45 p.m., a woman with emerald eyes and red hair handed him a glass of champagne. One sip of birthday bubbly, and he was dead.<br><br>No one at the party knew who she was, but Detective Eve Dallas remembers her all too well. Eve was personally responsible for Julianna Dunne's incarceration nearly ten years ago. And now, let out on good behavior, she still has nothing but bad intentions. It appears she wants to meet Dallas again—in a reunion neither will forget...","Fiction, Romance, Suspense, Mystery & Detective, Women Sleuths, Police Procedural","Fiction, Romance, Suspense",en,384.0,Mass Market Paperback,https://images.isbndb.com/covers/9976963482339.jpg,
067973225X,As I Lay Dying: The Corrected Text (Vintage International),William Faulkner,1990,Vintage Books USA,"<b>A true 20th-century classic from the Nobel Prize-winning author of <i>The Sound and the Fury</i>: the famed harrowing account of the Bundren family’s odyssey across the Mississippi countryside to bury Addie, their wife and mother.</b> <br><br><i>As I Lay Dying</i> is one of the most influential novels in American fiction in structure, style, and drama. Narrated in turn by each of the family members, including Addie herself as well as others, the novel ranges in mood from dark comedy to the deepest pathos. <br><br>“I set out deliberately to write a tour-de-force. Before I ever put pen to paper and set down the first word I knew what the last word would be and almost where the last period would fall.” —William Faulkner on <i>As I Lay Dying</i> <br><br>This edition reproduces the corrected text of<i> As I Lay Dying</i> as established in 1985 by Noel Polk.","Fiction, Literary, Classics, Sagas","Fiction, Literary, Classics",en,288.0,Paperback,https://images.isbndb.com/covers/27738683482429.jpg,
0894803204,The Book of Questions,Gregory Stock,1987,Workman Publishing,"The Book of Questions may be the only publication that challenges and changes the way readers view the world, without offering a single opinion of its own. Posing 265 questions, &quot;The Book of Questions&quot; is bound to provoke hours and hours of thought.",Self-Help,Self-Help,en,205.0,Mass Market Paperback,https://images.isbndb.com/covers/15842343482506.jpg,
0486270521,Sonnets from the Portuguese and Other Poems (Dover Thrift Editions),Elizabeth Barrett Browning,1992,Dover Publications,"<p>Elizabeth Barrett Browning (1806–1861), English poet and wife of the poet Robert Browning, is perhaps best known for her remarkable series of 44 love poems <i>Sonnets from the Portuguese</i>. Published in 1850, they were written by Mrs. Browning to her husband during the early years of their relationship. Their obvious sincerity, gentleness, and passion and the devotion and gratitude they express have made the poems popular favorites with generations of readers.<br>Mrs. Browning, however, addressed a wide range of other concerns, and this rich selection also includes poems dealing with religion, art, social problems, and political events. Among such works included here are: ""Cheerfulness Taught by Reason,"" ""A Curse for a Nation,"" ""The Forced Recruit,"" ""Grief,"" ""A Musical Instrument,"" ""The Cry of the Human,"" and many others.</p>","Poetry, European, English, Irish, Scottish, Welsh, Women Authors, Subjects & Themes, Love & Erotica, Fiction, Classics","Poetry, European, English, Irish, Scottish, Welsh",en,64.0,Paperback,https://images.isbndb.com/covers/2955053482361.jpg,
0449200248,Love,Leo Buscaglia,1978,Ballantine Books,"This book is about love. What it is and what it isn't. It is about you--and about everybody who has ever reached out to touch the heart of another. Among many other lessons of the heart, Leo Buscaglia reminds us: Love is open arms. If you close your arms about love you will find that you are left holding only yourself.","Family & Relationships, Love & Romance","Family & Relationships, Love & Romance",en,207.0,Mass Market Paperback,https://images.isbndb.com/covers/25453343482347.jpg,
068482499X,A Moveable Feast,Ernest Hemingway,1996,Scribner,"<b><i>“There is never any ending to Paris and the memory of each person who has lived in it differs from that of any other.” </i></b><b>—Ernest Hemingway, <i>A Moveable Feast</i></b><br><br>Ernest Hemingway’s classic memoir of Paris in the 1920s remains one of his most beloved works. Filled with tender memories of his first wife Hadley and their son Jack; irreverent portraits of literary luminaries such as F. Scott Fitzgerald and Gertrude Stein; and insightful recollections of his own early experiments with his craft, <i>A Moveable Feast </i>brilliantly evokes the exuberant mood of Paris after World War I and the youthful spirit, unbridled creativity, and unquenchable enthusiasm that Hemingway himself epitomized. It is an elegy to a remarkable group of expatriates and a testament to the risks and rewards of the writerly life.","Biography & Autobiography, Historical, Literary Figures, Personal Memoirs, Fiction, History, Europe, France, Literary Criticism, American, Social Science, Customs & Traditions","Biography & Autobiography, Historical, Literary Figures",en,211.0,Paperback,https://images.isbndb.com/covers/22494453482431.jpg,
0441007813,Obsidian Butterfly,Laurell K. Hamilton,2000,Ace Books,"Edward, a monster hunter even more ruthless than Anita, asks her to come to Albuquerque to help him track down a creature so vicious that even he is spooked: it rips apart its victims and leaves its survivors skinned alive. For help in the investigation, they have to call on the city's master vampire, Itzpapalotl (Aztec for ""obsidian butterfly""). This former Aztec priestess/nightclub owner agrees to answer questions--but only after dazzlingly displaying her awesome powers.","Fiction, Fantasy, Contemporary, Horror, Occult & Supernatural, Science Fiction","Fiction, Fantasy, Contemporary",en,596.0,Mass Market Paperback,https://images.isbndb.com/covers/27786373482344.jpg,
0671680110,LITTLE BIRDS,Anais Nin,1990,Pocket,"Few women writers dare celebrate the sexual experience as fully as Anais Nin. In ""Little Birds,"" she explores passion in all its forms...from two strangers on a moonlit Normandy beach to a woman's suddenly sexual fulfillment at a public hanging. Evocative, compelling, superbly erotic, ""Little Birds"" is a powerful journey into the mysterious world of sex and sensuality.","Fiction, Literary","Fiction, Literary",en,159.0,Mass Market Paperback,https://images.isbndb.com/covers/3388813482427.jpg,
0380790947,The Passion,Donna Boyd,1999,Avon,"In finely crafted prose and lush detail, Donna Boyd weaves a spell-binding tapestry of romance and suspense set against richly imagined landscapes of sensuousness. An intense saga of love and betrayal, <i>The Passion</i> is a story of those who walk the fine line between man beast.<p>On the eve of a brutal murder in contemporary Manhattan, Alexander Devoncroix finally reveals to his son and heir a tightly guarded chapter in the family history, which is know to no outsiders.<p>In a world in which a superior race of werewolved holds the positions of power, human and werewolf segregation had become the norm. But for the first time, the leaders of the pack have accepted a human. In dazzling nineteenth century Paris, we meet three pivotal players: the young human Tessa LeGuerre, who falls under the spell of a very powerful, very sensual werewolf; Alexander Devoncroix, the charismatic werewolf who adores humans too well, but whose ultimate loyalty is to the pack; and Elise, the imperial pack leader who lays claim to Alexander. Beloved ""pet"" of select members of the pack, Tessa naively embraces all things werewolf--an ambition that results in unspeakable tragedy.</p>","Fiction, Romance, Paranormal","Fiction, Romance, Paranormal",en,416.0,Mass Market Paperback,https://images.isbndb.com/covers/15419273482323.jpg,
0441005748,Blue Moon (Anita Blake Vampire Hunter),Laurell K. Hamilton,1998,Ace Books,"When her ex-fianc calls Anita Blake at three in the morning, she knows it won't be good news. It seems Richard has gotten himself thrown in jail on a rape charge. But Anita knows that Richard's no rapist. It's up to her to prove his innocence--before the Blue Moon creates even bigger problems for Richard.","BLAKE, ANITA (FICTITIOUS CHARACTER)_FICTION, FICTION_HORROR, VAMPIRES_FICTION, TENNESSEE_FICTION, FICTION_MYSTERY & DETECTIVE_WOMEN SLEUTHS","BLAKE, ANITA (FICTITIOUS CHARACTER)_FICTION, FICTION_HORROR, VAMPIRES_FICTION",en,418.0,Paperback,https://images.isbndb.com/covers/27765653482344.jpg,
0812540026,The Spellsong War : Book 2 of Spellsong Cycle (Spellsong Cycle),L. E. Modesitt Jr.,1999,Tor Fantasy,"<p>The sequel to <i>The Soprano Sorceress</i>, from the bestselling author of the Recluce Saga</p><p>With <i>The Soprano Sorceress</i> L.E. Modesitt started The Spellsong Cycle, an innovative and compelling new fantasy series that won Modesitt tons of new readers. <i>The Spellsong War</i> will enthrall its readers and continue to build Modesitt's increasingly loyal following.</p><p>Anna Marshal is regent of the kingdom of Defalk only a few months after a sorcerer pulled her from her boring life as a music instructor in Ames, Iowa to the world of Erde. With her ability and her integrity she saved Defalk from invasion and became it's regent, now she must defend it against the greedy rulers of neighboring kingdoms who see a weakened state and a possible opportunity.</p><p><i>The Spellsong War </i>is the second book of the Spellong Cycle.</p><p><b>The Spellsong Cycle</b><br>The Soprano Sorceress<br>The Spellsong War<br>Darksong Rising<br>The Shadow Sorceress<br>Shadowsinger</p><p><b>Other series by this author:</b><br>The Imager Portfolio<br>The Saga of Recluce<br>The Corean Chronicles<br>The Ghost Books<br>The Ecolitan Matter</p>","Fiction, Fantasy, Epic, Action & Adventure","Fiction, Fantasy, Epic",en,672.0,Mass Market Paperback,https://images.isbndb.com/covers/7698413482477.jpg,
0786808012,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2001,Miramax Kids,Artemis Fowl,Juvenile Fiction,Juvenile Fiction,en,288.0,Hardcover,https://images.isbndb.com/covers/3150423482468.jpg,
0380802317,Where Dreams Begin (Avon Historical Romance),Lisa Kleypas,2000,Avon,"<p>Zachary Bronson has built an empire of wealth and power -- now he needed a wife to help secure his position in society...and warm his bed in private.But not just any woman will do for a man whom all of London knows is not a gentleman. Then he unexpectedly swept Lady Holly Taylor into his arms for an unasked for -- but very alluring -- kiss, and suddenly he knew he had found a woman whose fierce passions matched his own.<p>Lady Holly Taylor was beautiful, generous, and, as a widow, destined to spend her life playing by society's rules, even when they went against her bolder instincts. But Zachary's kiss had aroused her, and though the shocking offer he made didn't include marriage, she was compelled to risk everything and follow him to the place where dreams begin.","Fiction, Romance, Historical, Erotica","Fiction, Romance, Historical",en,384.0,Mass Market Paperback,https://images.isbndb.com/covers/15533023482323.jpg,
0385484011,Bitch: In Praise of Difficult Women,Elizabeth Wurtzel,1999,Anchor Books/Doubleday,"From the author of the bestselling <i>Prozac Nation</i> comes one of the most entertaining feminist manifestos ever written. In five brilliant extended essays, she links the lives of women as demanding and disparate as Amy Fisher, Hillary Clinton, Margaux Hemingway, and Nicole Brown Simpson. Wurtzel gives voice to those women whose lives have been misunderstood, who have been dismissed for their beauty, their madness, their youth.<br><i><br>Bitch</i> is a brilliant tract on the history of manipulative female behavior. By looking at women who derive their power from their sexuality, Wurtzel offers a trenchant cultural critique of contemporary gender relations. Beginning with Delilah, the first woman to supposedly bring a great man down (latter-day Delilahs include Yoko Ono, Pam Smart, Bess Myerson), Wurtzel finds many biblical counterparts to the men and women in today's headlines.<br><br>She finds in the story of Amy Fisher the tragic plight of all Lolitas, our thirst for their brief and intense flame. She connects Hemingway's tragic suicide to those of Sylvia Plath, Edie Sedgwick, and Marilyn Monroe, women whose beauty was an end, ultimately, in itself. Wurtzel, writing about the wife/mistress dichotomy, explains how some women are anointed as wife material, while others are relegated to the role of mistress. She takes to task the double standard imposed on women, the cultural insistence on goodness and society's complete obsession with badness: what's a girl to do? Let's face it, if women were any real threat to male power, ""Gennifer Flowers would be sitting behind the desk of the Oval Office,"" writes Wurtzel, ""and Bill Clinton would be a lounge singer in the Excelsior Hotel in Little Rock.""<br><br><i>Bitch</i> tells a tale both celebratory and cautionary as Wurtzel catalogs some of the most infamous women in history, defending their outsize desires, describing their exquisite loneliness, championing their take-no-prisoners approach to life and to love. Whether writing about Courtney Love, Sally Hemings, Bathsheba, Kimba Wood, Sharon Stone, Princess Di--or waxing eloquent on the hideous success of <i>The Rules,</i> the evil that is <i>The Bridges of Madison County,</i> the twisted logic of <i>You'll Never Make Love in This Town Again</i>--Wurtzel is back with a bitchography that cuts to the core. In prose both blistering and brilliant, <i>Bitch</i> is a treatise on the nature of desperate sexual manipulation and a triumph of pussy power.","Social Science, Women's Studies, History, Women, Feminism & Feminist Theory","Social Science, Women's Studies, History",en,448.0,Paperback,https://images.isbndb.com/covers/6178403482325.jpg,
0452281458,Beauty's Release: The Sequel to the Claiming of Sleeping Beauty and Beauty's Punishment (Sleeping Beauty),A.N. Roquelaure,1985,Plume Books,"<b>From Anne Rice, author of <i>Beauty's Kingdom </i>and <i>Interview With the Vampire, </i>the final book in the erotic <i>Sleeping Beauty</i> series</b><br><br> Before E.L. James' <i>Fifty Shades of Grey</i> and Sylvia Day's <i>Bared to You</i>, there was Anne Rice’s provocative take on the timeless fairy tale “Sleeping Beauty. “ In the final volume of Anne Rice's deliciously tantalizing erotic series, Beauty's adventures on the dark side of sexuality make her the bound captive of an Eastern Sultan and a prisoner in the exotic confines of the harem. As this voluptuous adult fairy tale moves toward conclusion, all Beauty's encounters with the myriad variations of sexual fantasy are presented in a sensuous, rich prose that intensifies this exquisite rendition of Love's secret world, and makes the Beauty series and incomparable study of erotica. In it, Anne Rice, writing as A.N. Roquelaure, makes the forbidden side of passion a doorway into the hidden regions of the psyche and the heart.","Fiction, Romance, Fantasy, Women, Contemporary","Fiction, Romance, Fantasy",en,256.0,Paperback,https://images.isbndb.com/covers/93843482349.jpg,
0452281431,Beauty's Punishment (Sleeping Beauty),A.N. Roquelaure,1984,Plume Books,"<b>The delicious and erotically charged sequel to <i>The Claiming of Sleeping Beauty</i>, from the author of <i>Beauty's Kingdom</i>. </b><br><br> This sequel to <i>The Claiming of Sleeping Beauty</i>, the first of Anne Rice's (writing as A.N. Roquelaure) elegantly written volumes of erotica, continues her explicit, teasing exploration of the psychology of human desire. Now Beauty, having indulged in a secret and forbidden infatuation with the rebellious slave Prince Tristan, is sent away from the Satyricon-like world of the Castle. Sold at auction, she will soon experience the tantalizing punishments of ""the village,"" as her education in love, cruelty, dominance, submission, and tenderness is turned over to the brazenly handsome Captain of the Guard. And once again Rice's fabulous tale of pleasure and pain dares to explore the most primal and well-hidden desires of the human heart. Preceding the visceral eroticism of E.L. James’ <i>Fifty Shades of Grey</i> and Sylvia Day's <i>Bared to You</i><b>,</b> and even more haunting than her own novel <i>Belinda</i>, this second installment in the Sleeping Beauty series is not to be missed.","Fiction, Romance, Fantasy, Women, Contemporary","Fiction, Romance, Fantasy",en,256.0,Kindle Edition,https://images.isbndb.com/covers/93603482349.jpg,
